Name,Date,Age,Expedition,Nationality,Cause of death,Location,Age_outlier
Dorje,"June 7, 1922",38.0,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col,True
Lhakpa,"June 7, 1922",38.0,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col,True
Norbu,"June 7, 1922",38.0,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col,True
Pasang,"June 7, 1922",38.0,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col,True
Pema,"June 7, 1922",38.0,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col,True
Sange,"June 7, 1922",38.0,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col,True
Temba,"June 7, 1922",38.0,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col,True
Man Bahadur,"May 13, 1924",38.0,1924 British Mount Everest Expedition,Nepal,Pneumonia,Above Rongbuk B.C.,True
Lance-Naik Shamsherpun,"May 17, 1924",38.0,1924 British Mount Everest Expedition,Nepal,Brain hemorrhage,Above Rongbuk B.C.,True
Andrew Irvine,"June 9, 1924",22.0,1924 British Mount Everest Expedition,United Kingdom,Unknown. Body never found,N.E. Ridge,False
George Mallory,"June 9, 1924",37.0,1924 British Mount Everest Expedition,United Kingdom,Possible ice axe injury following a fall. Body found in 1999,N.E. Ridge,False
Maurice Wilson,"May 31, 1934",36.0,Solo Expedition,United Kingdom,"Possible exhaustion, exposure or starvation. Body found 1935",East Rongbuk Glacier,False
Dorje Mingma,"October 31, 1952",38.0,Swiss Expedition,Nepal,Falling ice,Lhotse Face,True
Wang Ji,"April 11, 1960",38.0,Chinese Expedition Northern Slope,China,Mountain sickness,Icefall,True
Shao Shi-Ching,"April 29, 1960",38.0,Chinese Expedition Northern Slope,China,Avalanche,N.E. Ridge,True
Nawang Tshering,"April 28, 1962",38.0,Chinese Expedition Northern Slope,Nepal,Avalanche,Lhotse face,True
Jake Breitenbach,"March 23, 1963",27.0,Norman Dyhrenfurth's American Mount Everest Expedition,United States,Crushed under serac,Icefall,False
Ma Gao-shu,"May 1, 1966",38.0,Chinese Everest Expedition,China,Fall,Icefall,True
Phu Dorjee Sherpa,"October 18, 1969",38.0,Japanese Everest Expedition,Nepal,Fall into a crevasse,Icefall,True
Nima Dorje,"April 5, 1970",38.0,Japanese Skiing Expedition,Nepal,Avalanche,Icefall,True
Kunga Norbu,"April 5, 1970",38.0,Japanese Skiing Expedition,Nepal,Avalanche,Icefall,True
Mima Norbu,"April 5, 1970",38.0,Japanese Skiing Expedition,Nepal,Avalanche,Icefall,True
Pasang,"April 5, 1970",38.0,Japanese Skiing Expedition,Nepal,Avalanche,Icefall,True
Kami Tshering,"April 5, 1970",38.0,Japanese Skiing Expedition,Nepal,Avalanche,Icefall,True
Kyak Tsering,"April 9, 1970",36.0,Japanese Skiing Expedition,Nepal,by fall,5525 m,False
Kiyoshi Narita,"April 21, 1970",38.0,Japanese Skiing Expedition,Japan,Heart attack,6150m,True
Harsh Vardhan,"April 18, 1971",31.0,International Expedition of 1971,India,Succumbed after falling and being suspended above a crevasse during a blizzard,6900m,False
Tony Tighe,"November 16, 1972",38.0,Mt. Qomolangma expedition,Australia,Crushed under serac,Icefall,True
Jangbu,"October 12, 1973",38.0,Adventure Consultants,Nepal,Avalanche,S.W. Face,True
Gérard Devouassoux,"September 9, 1974",38.0,French West Ridge Direct expedition,France,Avalanche,6400m,True
Pemba Dorje,"September 9, 1974",38.0,French West Ridge Direct expedition,Nepal,Avalanche,6400m,True
Lhakpa,"September 9, 1974",38.0,French West Ridge Direct expedition,Nepal,Avalanche,6400m,True
Nawang Lutuk,"September 9, 1974",38.0,French West Ridge Direct expedition,Nepal,Avalanche,6400m,True
Nima Wangchu,"September 9, 1974",38.0,French West Ridge Direct expedition,Nepal,Avalanche,6400m,True
Sanu Wongal,"September 9, 1974",38.0,French West Ridge Direct expedition,Nepal,Avalanche,6400m,True
Wu Zhuong Yue,"May 4, 1975",38.0,Adventure Consultants,China,"Exhaustion, fall",8500m,True
Unknown ; deaf-mute Sherpa porter,Aug-75,38.0,1975 British Mount Everest Southwest Face expedition,Nepal,Drowned,Below Base Camp,True
Mick Burke,"September 26, 1975",34.0,Bonington's 1975 Everest expedition,United Kingdom,Disappearance (likely accidental death during climb),Near Summit,False
Terry Thompson,"April 10, 1976",38.0,British-Nepal Army Everest Expedition,United Kingdom,Fall into a crevasse,Camp II,True
Dawa Nuru,"April 18, 1978",38.0,Adventure Consultants,Nepal,Fall into a crevasse,Icefall,True
Shi Ming-ji,"April 18, 1978",38.0,Chinese Iranian Expedition,China,Fall into a crevasse,Icefall,True
Ang Phu,"May 16, 1979",38.0,Yugoslavian Expedition,Nepal,Fall,Icefall,True
Ray Genet,"October 2, 1979",48.0,Gerhard Schmatz German Expedition or 1979 Swabian expedition,United States,"Exposure, exhaustion",8400m S.E. Ridge,False
Hannelore Schmatz,"October 2, 1979",39.0,Gerhard Schmatz German Expedition or 1979 Swabian expedition,Germany,"Exposure, exhaustion",8400m S.E. Ridge,False
Wang Hong-bao,"October 12, 1979",38.0,Japanese Alpine Club reconnaissance expedition,China,Avalanche,Below North Col,True
Lou Lan,"October 12, 1979",38.0,Japanese Alpine Club reconnaissance expedition,China,Avalanche,Below North Col,True
Nima Thaxi,"October 12, 1979",38.0,Japanese Alpine Club reconnaissance expedition,China,Avalanche,Below North Col,True
Akira Ube,"May 2, 1980",31.0,Japanese Alpine Society Expedition,Japan,Avalanche,7900m North Face (Hornbein Couloir),False
Nawang Kersang,"September 6, 1980",38.0,Italian Expedition,Nepal,Fall,Icefall,True
Mario Piana,"September 22, 1980",38.0,Italian Expedition,Italy,Crushed under serac,Lhotse Face,True
Noboru Takenaka,"January 12, 1981",28.0,Japanese Winter Expedition,Japan,Fall,6900m W. Cwm,False
Marty Hoey,"May 15, 1982",30.0,Whittaker American Expedition,United States,Fall,8000m,False
Peter Boardman,"May 17, 1982",31.0,British Mount Everest Expedition,United Kingdom,Disappearance (likely accidental death during climb),North-East Ridge (approx. 8200m),False
Joe Tasker,"May 17, 1982",33.0,British Mount Everest Expedition,United Kingdom,Disappearance (likely accidental death during climb),North-East Ridge (approx. 8200m),False
Ang Chuldim,"August 31, 1982",20.0,Bill March Canadian Expedition,Nepal,Avalanche,Icefall,False
Dawa Dorje,"August 31, 1982",42.0,Bill March Canadian Expedition,Nepal,Avalanche,Icefall,False
Pasang Sona,"August 31, 1982",38.0,Bill March Canadian Expedition,Nepal,Avalanche,Icefall,False
Blair Griffiths,"September 2, 1982",33.0,Bill March Canadian Expedition,Canada,Crushed under serac,Icefall,False
Lhakpa Tshering,"September 27, 1982",38.0,Spanish Expedition,Nepal,Internal hemorrhage,6770m,True
Nima Dorje,"October 14, 1982",38.0,Spanish Expedition,Nepal,Fall,8300m W ridge,True
Yasuo Kato,"December 28, 1982",33.0,Japanese Expedition,Japan,Disappearance (likely accidental death during climb),Near Summit,False
Toshiaki Kobayashi,"December 28, 1982",38.0,Japanese Expedition,Japan,Disappearance (likely accidental death during climb),Near Summit,True
Hironobu Kamuro,"October 8, 1983",38.0,Japanese Expedition,Japan,Fall,Near Summit,True
Pasang Temba,"October 8, 1983",38.0,Japanese Expedition,Nepal,Fall,8600m SE Ridge,True
Hiroshi Yoshino,"October 9, 1983",38.0,Japanese Expedition,Japan,Fall,Near Summit,True
Ang Rinji,"March 26, 1984",38.0,Indian Expedition,Nepal,Avalanche,Icefall,True
Tony Swierzy,"April 3, 1984",27.0,Micheal Lane British North Face Expedition,United Kingdom,Avalanche,6238m,False
Hristo Ivanov Prodanov,"April 21, 1984",40.0,Bulgarian West Face Expedition,Bulgaria,Disappearance (likely accidental death during descent),8500m West Ridge,False
William (Fred) From,"October 9, 1984",28.0,Australian-New Zealand Expedition,Australia,"Fall, while searching for Craig Nottle",8000m,False
Craig Nottle,"October 9, 1984",23.0,Australian-New Zealand Expedition,Australia,Fall,8000m,False
Jozef Psotka,"October 16, 1984",50.0,Australian-New Zealand Expedition,Czechoslovakia,Fall,Near Summit,False
Ang Dorje,"October 24, 1984",35.0,Mission to recover body of Hannelore Schmatz,Nepal,Fall,8400m S.E. Ridge,False
Yogendra Bahadur Thapa,"October 24, 1984",36.0,Mission to recover body of Hannelore Schmatz,Nepal,Fall,8400m S.E. Ridge,False
Juanjo Navarro,"May 12, 1985",38.0,Navarrese Expedition,Spain,Fall,7300m,True
Shinichi Ishii,"September 19, 1985",38.0,Japanese Expedition,Japan,Avalanche,Below North Col,True
Kiran Inder Kumar,"October 7, 1985",40.0,Indian Expedition,India,Fall,7986m,False
Jai Bahugana,"October 11, 1985",38.0,Indian Expedition,India,Exposure,South Col,True
Ranjeet Singh Bakshi,"October 11, 1985",38.0,Indian Expedition,India,Exposure,South Col,True
Vijay Pal Singh Negi,"October 11, 1985",28.0,Indian Expedition,India,Exposure,South Col,False
M.U. Bhaskar Rao,"October 11, 1985",38.0,Indian Expedition,India,Exposure,South Col,True
Víctor Hugo Trujillo,"August 16, 1986",22.0,Adventure Consultants,Chile,Avalanche,Below North Col,False
Simon Burkhardt,"September 28, 1986",52.0,Eiselin Sports Expedition,Switzerland,Avalanche,7315m,False
Gyalu,"October 4, 1986",38.0,Eiselin Sports Expedition,Nepal,Crushed under serac,Icefall,True
Dawa Norbu,"October 17, 1986",38.0,Eiselin Sports Expedition,Nepal,Avalanche,Below North Col,True
Tsuttin Dorje,"January 30, 1987",38.0,Adventure Consultants,Nepal,Fall,7700m,True
Roger Marshall,"May 21, 1987",45.0,Adventure Consultants,Canada,Disappearance (likely accidental death during descent),"Hornbein Couloir, Near Summit",False
Masao Yokoyama,"September 2, 1987",44.0,Japanese Expedition,Japan,Drowned,East Rongbuk Glacier,False
Mangal Singh,"October 20, 1987",38.0,British Expedition,Nepal,Avalanche,Base camp,True
Hidetaka Mizukoshi,"April 21, 1988",38.0,"35th Anniversary climb with Chinese, Japanese and Nepalese nationals",Japan,Heart attack (at Base camp),Base camp,True
Michel Parmentier,"September 20, 1988",38.0,International,France,Exposure,7700m,True
Narayan Shrestha,"September 21, 1988",38.0,Adventure Consultants,Nepal,Avalanche,7200m,True
Lhakpa Sonam,"October 13, 1988",38.0,Adventure Consultants,Nepal,Fall,8200m,True
Pasang Temba,"October 13, 1988",38.0,Adventure Consultants,Nepal,Fall,8200m,True
Dušan Becík,"October 17, 1988",34.0,IAMES Bratislava Expedition,Czechoslovakia,Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[75][76],8000m S.W. Ridge,False
Peter Božík,"October 17, 1988",34.0,IAMES Bratislava Expedition,Czechoslovakia,Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[75][76],8000m S.W. Ridge,False
Jaroslav Jaško,"October 17, 1988",26.0,IAMES Bratislava Expedition,Czechoslovakia,Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[75][76],8000m S.W. Ridge,False
Jozef Just,"October 17, 1988",33.0,IAMES Bratislava Expedition,Czechoslovakia,Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[75][76],8000m S.W. Ridge,False
Ang Lhakpa,"December 23, 1988",38.0,Adventure Consultants,Nepal,Cerebral thrombosis,South Col,True
Dimitar Ilievski-Murato,"May 10, 1989",35.0,Adventure Consultants,Yugoslavia,Fall,Descending South Col Route,False
Phu Dorje,"May 16, 1989",38.0,Adventure Consultants,Nepal,Fall,Descending South Col Route,True
Mirosław Dąsal,"May 27, 1989",37.0,Polish-led expedition that included four U.S. mountaineers,Poland,Avalanche,7200m W ridge,False
Mirosław Gardzielewski,"May 27, 1989",35.0,Polish-led expedition that included four U.S. mountaineers,Poland,Avalanche,7200m W ridge,False
Andrzej Heinrich,"May 27, 1989",51.0,Polish-led expedition that included four U.S. mountaineers,Poland,Avalanche,7200m W ridge,False
Wacław Otręba,"May 27, 1989",50.0,Polish-led expedition that included four U.S. mountaineers,Poland,Avalanche,7200m W ridge,False
Eugeniusz Chrobak,"May 28, 1989",30.0,Polish-led expedition that included four U.S. mountaineers,Poland,Avalanche injuries,Lhola camp,False
Ang Pinjo,"December 12, 1989",38.0,South Korean expedition,Nepal,"Altitude sickness, heart attack",Icefall,True
Rafael Gómez-Menor,"September 14, 1990",38.0,Adventure Consultants,Spain,Avalanche,Icefall,True
Ang Sona,"September 14, 1990",38.0,Adventure Consultants,Nepal,Avalanche,Icefall,True
Badri Nath,"September 14, 1990",38.0,Adventure Consultants,Nepal,Avalanche,Icefall,True
Ham Sang-hun,"October 7, 1990",38.0,Japanese Korean expedition,South Korea,Disappearance (likely accidental death during climb),Icefall,True
Rüdiger Lang,"May 3, 1991",38.0,Austrian solo expedition,Germany,Exposure,7850m N.E. Ridge,True
Junichi Futagami,"May 27, 1991",38.0,Japanese solo expedition,Japan,Fall,8700m NE,True
Deepak Kulkarni,"May 2, 1992",38.0,Indian expedition,India,Exposure,Icefall,True
Raymond Jacob,"May 2, 1992",38.0,Indian expedition,India,Exposure,Icefall,True
Subba Singh,"May 11, 1992",43.0,Adventure Consultants,Nepal,Heart attack,Icefall,False
Sher Singh,"May 23, 1992",38.0,Indian Expedition,India,Fall,Icefall,True
Manabu Hoshi,"May 23, 1992",38.0,Japanese Expedition,Japan,Disappearance (likely accidental death during climb),8350m NE,True
Ang Tshering,"January 15, 1993",38.0,Spanish Expedition,Nepal,Fall,Icefall,True
Pasang Lhamu Sherpa,"April 23, 1993",32.0,Nepalese Expedition,Nepal,Disappearance (likely accidental death during climb),8750m S.E. Ridge,False
Sonam Tshering,"April 23, 1993",38.0,Nepalese Expedition,Nepal,Avalanche,8750m S.E. Ridge,True
Lobsang Tshering Bhutia,"May 10, 1993",41.0,40th anniversary of Tenzing Norgay's climb,Nepal,Fall,8750m S.E. Ridge,False
Nam Won-woo,"May 16, 1993",38.0,South Korean expedition,South Korea,Fall,8450m S.E. Ridge,True
A Jin-seob,"May 17, 1993",38.0,South Korean expedition,South Korea,Fall,8450m S.E. Ridge,True
Karl Henize,"October 5, 1993",66.0,American expedition,United States,HAPE,6400m,False
Antonio Miranda,"October 7, 1993",38.0,Adventure Consultants,Spain,Fall,Icefall,True
Prem Thapa,"April 6, 1994",38.0,German Expedition,Nepal,Cerebral oedema,Icefall,True
Shih Fang-Fang 'Norman',"May 9, 1994",27.0,Taiwanese,Taiwan,Exhaustion and/or exposure,Icefall,False
Giuseppe Vigani,"May 18, 1994",43.0,Italian Expedition,Italy,Fall,North Face,False
Mike Rheinberger,"May 27, 1994",53.0,Australian Expedition,Australia,"150m fall. He showed signs of exhaustion, dehydration, cerebral oedema, retinal hemorrhages and possible blood clots in his upper legs.",8500m NE,False
Mingma Norbu,"September 12, 1994",38.0,Norwegian Expedition,Nepal,Avalanche,Icefall,True
Kami Rita,"May 6, 1995",38.0,American Expedition,Nepal,Fall,Icefall,True
Lhakpa Nuru,"September 10, 1995",38.0,South Korean Expedition,Nepal,Avalanche,6900m,True
Zangbu,"October 14, 1995",38.0,South Korean Expedition,Nepal,Fall,Near Summit,True
Chen Yu-Nan,"May 9, 1996",36.0,"""Makalu"" Gau Ming-Ho Taiwanese expedition",Taiwan,Injuries from a fall,Icefall,False
Scott Fischer,"May 11, 1996",40.0,Mountain Madness,United States,"Suspected HACE (high-altitude cerebral edema), exhaustion, frostbite and exposure.",8300m S.E. Ridge,False
Rob Hall,"May 11, 1996",35.0,Adventure Consultants,New Zealand,Exposure,South Summit,False
Doug Hansen,"May 11, 1996",46.0,Adventure Consultants,United States,Exposure,South Summit,False
Andrew Harris,"May 11, 1996",31.0,Adventure Consultants,New Zealand,Disappearance (likely accidental death during climb),8700m S.E. Ridge,False
Yasuko Namba,"May 11, 1996",47.0,Adventure Consultants,Japan,Exposure,South Col,False
Dorje Morup,"May 11, 1996",47.0,Indo-Tibetan Border Police,India,Exposure,8600m N.E. Ridge,False
Tsewang Paljor,"May 11, 1996",28.0,Indo-Tibetan Border Police,India,Exposure,8600m N.E. Ridge,False
