Name,Date,Age,Expedition,Nationality,Cause of death,Location,Age_outlier,Age_Group
Dorje,1922-06-07,38.0,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col,True,21-40
Lhakpa,1922-06-07,38.0,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col,True,21-40
Norbu,1922-06-07,38.0,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col,True,21-40
Pasang,1922-06-07,38.0,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col,True,21-40
Pema,1922-06-07,38.0,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col,True,21-40
Sange,1922-06-07,38.0,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col,True,21-40
Temba,1922-06-07,38.0,1922 British Mount Everest Expedition,Nepal,Avalanche,Below North Col,True,21-40
Man Bahadur,1924-05-13,38.0,1924 British Mount Everest Expedition,Nepal,Pneumonia,Above Rongbuk B.C.,True,21-40
Lance-Naik Shamsherpun,1924-05-17,38.0,1924 British Mount Everest Expedition,Nepal,Brain hemorrhage,Above Rongbuk B.C.,True,21-40
Andrew Irvine,1924-06-09,22.0,1924 British Mount Everest Expedition,United Kingdom,Unknown. Body never found,N.E. Ridge,False,21-40
George Mallory,1924-06-09,37.0,1924 British Mount Everest Expedition,United Kingdom,Possible ice axe injury following a fall. Body found in 1999,N.E. Ridge,False,21-40
Maurice Wilson,1934-05-31,36.0,Solo Expedition,United Kingdom,"Possible exhaustion, exposure or starvation. Body found 1935",East Rongbuk Glacier,False,21-40
Dorje Mingma,1952-10-31,38.0,Swiss Expedition,Nepal,Falling ice,Lhotse Face,True,21-40
Wang Ji,1960-04-11,38.0,Chinese Expedition Northern Slope,China,Mountain sickness,Icefall,True,21-40
Shao Shi-Ching,1960-04-29,38.0,Chinese Expedition Northern Slope,China,Avalanche,N.E. Ridge,True,21-40
Nawang Tshering,1962-04-28,38.0,Chinese Expedition Northern Slope,Nepal,Avalanche,Lhotse face,True,21-40
Jake Breitenbach,1963-03-23,27.0,Norman Dyhrenfurth's American Mount Everest Expedition,United States,Crushed under serac,Icefall,False,21-40
Ma Gao-shu,1966-05-01,38.0,Chinese Everest Expedition,China,Fall,Icefall,True,21-40
Phu Dorjee Sherpa,1969-10-18,38.0,Japanese Everest Expedition,Nepal,Fall into a crevasse,Icefall,True,21-40
Nima Dorje,1970-04-05,38.0,Japanese Skiing Expedition,Nepal,Avalanche,Icefall,True,21-40
Kunga Norbu,1970-04-05,38.0,Japanese Skiing Expedition,Nepal,Avalanche,Icefall,True,21-40
Mima Norbu,1970-04-05,38.0,Japanese Skiing Expedition,Nepal,Avalanche,Icefall,True,21-40
Pasang,1970-04-05,38.0,Japanese Skiing Expedition,Nepal,Avalanche,Icefall,True,21-40
Kami Tshering,1970-04-05,38.0,Japanese Skiing Expedition,Nepal,Avalanche,Icefall,True,21-40
Kyak Tsering,1970-04-09,36.0,Japanese Skiing Expedition,Nepal,by fall,5525 m,False,21-40
Kiyoshi Narita,1970-04-21,38.0,Japanese Skiing Expedition,Japan,Heart attack,6150m,True,21-40
Harsh Vardhan,1971-04-18,31.0,International Expedition of 1971,India,Succumbed after falling and being suspended above a crevasse during a blizzard,6900m,False,21-40
Tony Tighe,1972-11-16,38.0,Mt. Qomolangma expedition,Australia,Crushed under serac,Icefall,True,21-40
Jangbu,1973-10-12,38.0,Adventure Consultants,Nepal,Avalanche,S.W. Face,True,21-40
Gérard Devouassoux,1974-09-09,38.0,French West Ridge Direct expedition,France,Avalanche,6400m,True,21-40
Pemba Dorje,1974-09-09,38.0,French West Ridge Direct expedition,Nepal,Avalanche,6400m,True,21-40
Lhakpa,1974-09-09,38.0,French West Ridge Direct expedition,Nepal,Avalanche,6400m,True,21-40
Nawang Lutuk,1974-09-09,38.0,French West Ridge Direct expedition,Nepal,Avalanche,6400m,True,21-40
Nima Wangchu,1974-09-09,38.0,French West Ridge Direct expedition,Nepal,Avalanche,6400m,True,21-40
Sanu Wongal,1974-09-09,38.0,French West Ridge Direct expedition,Nepal,Avalanche,6400m,True,21-40
Wu Zhuong Yue,1975-05-04,38.0,Adventure Consultants,China,"Exhaustion, fall",8500m,True,21-40
Unknown ; deaf-mute Sherpa porter,,38.0,1975 British Mount Everest Southwest Face expedition,Nepal,Drowned,Below Base Camp,True,21-40
Mick Burke,1975-09-26,34.0,Bonington's 1975 Everest expedition,United Kingdom,Disappearance (likely accidental death during climb),Near Summit,False,21-40
Terry Thompson,1976-04-10,38.0,British-Nepal Army Everest Expedition,United Kingdom,Fall into a crevasse,Camp II,True,21-40
Dawa Nuru,1978-04-18,38.0,Adventure Consultants,Nepal,Fall into a crevasse,Icefall,True,21-40
Shi Ming-ji,1978-04-18,38.0,Chinese Iranian Expedition,China,Fall into a crevasse,Icefall,True,21-40
Ang Phu,1979-05-16,38.0,Yugoslavian Expedition,Nepal,Fall,Icefall,True,21-40
Ray Genet,1979-10-02,48.0,Gerhard Schmatz German Expedition or 1979 Swabian expedition,United States,"Exposure, exhaustion",8400m S.E. Ridge,False,41-60
